гольф,боулинг,клубный отдых
рыбалка,игра на музыкальных инструментах,путешествия
плетение,квест-комнаты,серфинг
горные лыжи,массаж,стекло
настольные игры,аэрография,спорт-фанат
музеи и выставки,фотография и фотокниги,диггерство
охота,разработка сайтов,охота
выращивание кристаллов,борьба,дайвинг
ароматерапия,музыка,декупаж
боевые искусства,бодиарт,компьютерная графика
вязание,коллекционирование,файер-шоу
пейнтбол,карвинг,животные
собирание грибов и ягод,игра на гитаре,картинг и квадроциклы
рукопашный бой,пчеловодство,коньки и ролики
скалолазание,дизайн интерьера,переписка по обычной почте
батут,театр,аксессуары
скрапбукинг,петанк,мыловарение
горные лыжи,велосипед,бонсай
дизайн,предпринимательство,робототехника
игра на труба,силовые тренировки,кладоискательство и археология
изучение новых компьютерных программ,получение научных званий и степеней,игры на компьютерах и приставках
зентангл,лошади,татуировки и пирсинг
автомобили,шитье и вышивание,исторические реконструкции
изделия из металла и кузнечное дело,кулинария,игрушки и куклы
моделирование,писательская деятельность и журналистика,тайский бокс
пикап,оригами,лазертаг
кайтинг,фейерверки,бег
игра на пианино,парашютный спорт,каллиграфия
блоггерство,пилатес,стрельба
плавание,открытки,футбол
иностранные языки,радиовещание,психология и тренинги
рисование,программирование,гербарий
сноуборд,граффити,танцы и балет
паркур,косплей,скейтборд
дизайн одежды,головоломки,теннис
аэробика,лепка,выжигание по дереву
жонглирование,резьба по дереву,пение и караоке
йога,лыжи,икебана
фокусы,концерты,бильярд
батик,бадминтон,рукоделия из кожи
дартс,паззлы,кроссворды
страйкбол,выращивание растений и цветов,бокс
